Time,Bms_Life,SumVoltage,Current,SOC,ChgMOS,DisChgMOS,SerialNum,TempNum,RemainCap,MaxV,MaxV_No,MinV,MinV_No,MaxT,MaxT_No,MinT,MinT_No,CellV_1,CellV_2,CellV_3,CellV_4,CellV_5,CellV_6,CellV_7,CellV_8,CellV_9,CellV_10,CellV_11,CellV_12,CellV_13,CellV_14,CellV_15,CellV_16,Temp_1,Temp_2,ErrCode1,ErrCode2,ErrCode3,ErrCode4,ErrCode5,ErrCode6,ErrCode7,ErrCode8,CycleTime,DI1,DI2,DI3,DI4,DO1,DO2,DO3,DO4,BoardNum,SOH,BalanceWord
6:52:47 pm,188,52.8,0,76,ON,ON,16,2,11.4,3.302,12,3.301,1,25,2,24,1,3.301,3.301,3.301,3.301,3.301,3.301,3.301,3.301,3.301,3.301,3.301,3.301,3.301,3.302,3.302,3.302,,,0,0,0,0,0,0,0,0,2,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1,0,Ox000000000000
6:52:54 pm,195,52.8,0,76,ON,ON,16,2,11.4,3.302,15,3.301,1,25,2,24,1,3.301,3.301,3.301,3.301,3.301,3.301,3.301,3.301,3.301,3.302,3.301,3.302,3.302,3.302,3.302,3.302,24,25,0,0,0,0,0,0,0,0,2,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1,100,Ox000000000000
6:52:55 pm,196,52.8,0,76,ON,ON,16,2,11.4,3.302,12,3.301,1,25,2,24,1,3.301,3.301,3.301,3.301,3.301,3.301,3.301,3.301,3.301,3.301,3.302,3.302,3.301,3.302,3.302,3.302,24,25,0,0,0,0,0,0,0,0,2,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1,100,Ox000000000000
6:52:56 pm,197,52.8,0,76,ON,ON,16,2,11.4,3.302,7,3.301,1,25,2,24,1,3.301,3.301,3.301,3.301,3.301,3.301,3.301,3.301,3.301,3.301,3.301,3.301,3.302,3.302,3.302,3.302,24,25,0,0,0,0,0,0,0,0,2,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1,100,Ox000000000000
6:52:57 pm,198,52.8,0,76,ON,ON,16,2,11.4,3.302,7,3.301,1,25,2,24,1,3.301,3.301,3.301,3.301,3.301,3.301,3.301,3.301,3.301,3.301,3.301,3.301,3.302,3.302,3.302,3.302,24,25,0,0,0,0,0,0,0,0,2,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1,100,Ox000000000000
6:52:58 pm,199,52.8,0,76,ON,ON,16,2,11.4,3.302,13,3.301,1,25,2,24,1,3.301,3.301,3.301,3.301,3.301,3.301,3.301,3.301,3.301,3.301,3.302,3.301,3.301,3.301,3.302,3.302,24,25,0,0,0,0,0,0,0,0,2,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1,100,Ox000000000000
6:52:59 pm,200,52.8,0,76,ON,ON,16,2,11.4,3.302,14,3.301,1,25,2,24,1,3.301,3.301,3.301,3.301,3.301,3.301,3.301,3.301,3.301,3.302,3.301,3.301,3.302,3.301,3.302,3.302,24,25,0,0,0,0,0,0,0,0,2,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1,100,Ox000000000000
6:53:00 pm,201,52.8,0,76,ON,ON,16,2,11.4,3.302,7,3.301,1,25,2,24,1,3.301,3.301,3.301,3.301,3.301,3.301,3.301,3.301,3.301,3.301,3.302,3.301,3.302,3.301,3.302,3.302,24,25,0,0,0,0,0,0,0,0,2,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1,100,Ox000000000000
6:53:01 pm,202,52.8,0,76,ON,ON,16,2,11.4,3.302,7,3.301,1,25,2,24,1,3.301,3.301,3.301,3.301,3.301,3.301,3.301,3.301,3.301,3.301,3.301,3.301,3.302,3.302,3.302,3.302,24,25,0,0,0,0,0,0,0,0,2,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1,100,Ox000000000000
6:53:02 pm,203,52.8,0,76,ON,ON,16,2,11.4,3.302,7,3.301,1,25,2,24,1,3.301,3.301,3.301,3.301,3.301,3.301,3.301,3.301,3.302,3.301,3.301,3.301,3.301,3.301,3.302,3.302,24,25,0,0,0,0,0,0,0,0,2,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,1,100,Ox000000000000
